TSLF,FireYear,Assessment_Year,ObsArea_Whole,ObsArea_Subset,Check_ObsPercent_Whole,Check_ObsPercent_Subset,Check_Exp_MINInterval,Check_Exp_MAXInterval,,
32,1983,2015,0.003188851,0,0.001759307,0,0.058510003,0.785323903,,
33,1982,2015,0.036468948,0,0.020120122,0,0.048758336,0.732968976,,
34,1981,2015,0,0,0,0,0.040631947,0.684104378,,
35,1980,2015,0.031403277,0,0.017325363,0,0.033859956,0.638497419,,
36,1979,2015,0,0,0,0,0.02821663,0.595930924,,
37,1978,2015,0.019278757,0.041335973,0.010636198,0.244991006,0.023513858,0.556202196,,
38,1977,2015,1.51848116,2.82715E-07,0.837754511,1.6756E-06,0.019594882,0.51912205,,
39,1976,2015,0,0,0,0,0.016329068,0.484513913,,
40,1975,2015,0,0,0,0,0.013607557,0.452212986,,
41,1974,2015,0.12448086,0,0.068676783,0,0.011339631,0.422065453,,
42,1973,2015,0,0,0,0,0.009449692,0.393927756,,
43,1972,2015,0,0,0,0,0.007874743,0.367665906,,
44,1971,2015,0,0,0,0,0.006562286,0.343154846,,
45,1970,2015,0,0,0,0,0.005468572,0.320277856,,
46,1969,2015,0,0,0,0,0.004557143,0.298925999,,
47,1968,2015,1.415376213,0.000457078,0.780870938,0.002709021,0.003797619,0.278997599,,
48,1967,2015,0,0,0,0,0.003164683,0.260397759,,
49,1966,2015,0,0,0,0,0.002637236,0.243037908,,
50,1965,2015,0,0,0,0,0.002197696,0.226835381,,
51,1964,2015,0.017675495,0.016575145,0.009751669,0.098237953,0.001831414,0.211713022,,
52,1963,2015,0,0,0,0,0.001526178,0.197598821,,
53,1962,2015,0,0,0,0,0.001271815,0.184425566,,
54,1961,2015,0,0,0,0,0.001059846,0.172130528,,
55,1960,2015,0,0,0,0,0.000883205,0.16065516,,
56,1959,2015,0,0,0,0,0.000736004,0.149944816,,
57,1958,2015,0,0,0,0,0.000613337,0.139948495,,
58,1957,2015,0,0,0,0,0.000511114,0.130618595,,
59,1956,2015,0,0,0,0,0.000425928,0.121910689,,
60,1955,2015,0,0,0,0,0.00035494,0.11378331,,
61,1954,2015,0,0,0,0,0.000295784,0.106197756,,
62,1953,2015,0,0,0,0,0.000246486,0.099117905,,
63,1952,2015,0,0,0,0,0.000205405,0.092510045,,
64,1951,2015,0,0,0,0,0.000171171,0.086342709,,
65,1950,2015,0,0,0,0,0.000142643,0.080586528,,
Unknown,Unknown,2015,115.1654924,0.003668395,63.53744346,0.021741931,0.000713213,1.128211392,,
1,2009,2010,0.04464619,0.042794813,0.024631551,0.236803396,16.66666667,6.666666667,,
2,2008,2010,0.052618887,0.052618887,0.029030133,0.291164518,13.88888889,6.222222222,,
3,2007,2010,0.011586487,0,0.00639233,0,11.57407407,5.807407407,,
4,2006,2010,1.560585422,0,0.860983667,0,9.645061728,5.420246914,,
5,2005,2010,0.524691144,0.501825096,0.289475026,2.776829208,8.03755144,5.058897119,,
6,2004,2010,3.869987559,0.00219102,2.135093686,0.012123923,6.697959534,4.721637311,,
7,2003,2010,0.845771868,0.088682699,0.466617049,0.49072219,5.581632945,4.406861491,,
8,2002,2010,4.048071147,1.46787164,2.233343394,8.122409344,4.651360787,4.113070725,,
9,2001,2010,39.22072724,11.97243236,21.63829362,66.24897831,3.876133989,3.83886601,,
10,2000,2010,0.064462996,0,0.035564594,0,3.230111658,3.582941609,,
11,1999,2010,0.305023047,0,0.168282913,0,2.691759715,3.344078835,,
12,1998,2010,0.503960983,0.147336342,0.278038081,0.815279789,2.243133096,3.121140246,,
13,1997,2010,1.587169922,1.404126468,0.875650484,7.769677968,1.86927758,2.91306423,,
14,1996,2010,0.33783308,0.003913751,0.186384392,0.021656588,1.557731316,2.718859948,,
15,1995,2010,0.068072812,0.022061179,0.03755615,0.122074655,1.29810943,2.537602618,,
16,1994,2010,0.610472086,0.172076457,0.336800849,0.952178231,1.081757859,2.36842911,,
17,1993,2010,0.16429154,0.026181868,0.090640557,0.144876328,0.901464882,2.210533836,,
18,1992,2010,0.000993815,0.000604404,0.000548293,0.003344444,0.751220735,2.063164914,,
19,1991,2010,0.884672172,0,0.488078564,0,0.626017279,1.925620586,,
20,1990,2010,0.089166168,8.33591E-06,0.049193472,4.61264E-05,0.521681066,1.79724588,,
21,1989,2010,0.197393858,0,0.108903291,0,0.434734222,1.677429488,,
22,1988,2010,0.424863009,0,0.234399288,0,0.362278518,1.565600856,,
23,1987,2010,0,0,0,0,0.301898765,1.461227465,,
24,1986,2010,0.422999926,0,0.233371415,0,0.251582304,1.363812301,,
25,1985,2010,4.794709947,0.179083787,2.645268177,0.990953014,0.20965192,1.272891481,,
26,1984,2010,2.058116291,0.346958238,1.135474218,1.919879609,0.174709934,1.188032049,,
27,1983,2010,0.003188851,0,0.001759307,0,0.145591611,1.108829912,,
28,1982,2010,0.036468948,0.000457078,0.020120122,0.002529223,0.121326343,1.034907918,,
29,1981,2010,0,0,0,0,0.101105286,0.965914057,,
30,1980,2010,0.031422286,0.016575145,0.01733585,0.091717904,0.084254405,0.901519786,,
31,1979,2010,0,0,0,0,0.070212004,0.841418467,,
32,1978,2010,0.086097124,0.065379401,0.047500263,0.361774315,0.058510003,0.785323903,,
33,1977,2010,1.51848116,0,0.837754511,0,0.048758336,0.732968976,,
34,1976,2010,0,0,0,0,0.040631947,0.684104378,,
35,1975,2010,0,0,0,0,0.033859956,0.638497419,,
36,1974,2010,0.12448086,0,0.068676783,0,0.02821663,0.595930924,,
37,1973,2010,0,0,0,0,0.023513858,0.556202196,,
38,1972,2010,0,0,0,0,0.019594882,0.51912205,,
39,1971,2010,0,0,0,0,0.016329068,0.484513913,,
40,1970,2010,0,0,0,0,0.013607557,0.452212986,,
41,1969,2010,0,0,0,0,0.011339631,0.422065453,,
42,1968,2010,1.415661243,0,0.781028191,0,0.009449692,0.393927756,,
43,1967,2010,0,0,0,0,0.007874743,0.367665906,,
44,1966,2010,0,0,0,0,0.006562286,0.343154846,,
45,1965,2010,0,0,0,0,0.005468572,0.320277856,,
46,1964,2010,0.017675495,0,0.009751669,0,0.004557143,0.298925999,,
47,1963,2010,0,0,0,0,0.003797619,0.278997599,,
48,1962,2010,0,0,0,0,0.003164683,0.260397759,,
49,1961,2010,0,0,0,0,0.002637236,0.243037908,,
50,1960,2010,0,0,0,0,0.002197696,0.226835381,,
51,1959,2010,0,0,0,0,0.001831414,0.211713022,,
52,1958,2010,0,0,0,0,0.001526178,0.197598821,,
53,1957,2010,0,0,0,0,0.001271815,0.184425566,,
54,1956,2010,0,0,0,0,0.001059846,0.172130528,,
55,1955,2010,0,0,0,0,0.000883205,0.16065516,,
56,1954,2010,0,0,0,0,0.000736004,0.149944816,,
57,1953,2010,0,0,0,0,0.000613337,0.139948495,,
58,1952,2010,0,0,0,0,0.000511114,0.130618595,,
59,1951,2010,0,0,0,0,0.000425928,0.121910689,,
60,1950,2010,0,0,0,0,0.00035494,0.11378331,,
Unknown,Unknown,2010,115.329737,1.558695745,63.62805811,8.624980913,0.001774701,1.592966334,,
